setup...ptcl num 
dens 0.166411 0.166411
dens 0.169452 0.169452
dens 0.168383 0.168383
dens 0.166221 0.166221
dens 0.169364 0.169364
dens 0.170714 0.170714
dens 0.170482 0.170482
dens 0.170147 0.170147
dens 0.169371 0.169371
dens 0.172106 0.172106
dens 0.166483 0.166483
dens 0.167366 0.167366
dens 0.169199 0.169199
dens 0.169558 0.169558
dens 0.16909 0.16909
dens 0.16618 0.16618
dens 0.167564 0.167564
dens 0.169149 0.169149
dens 0.167773 0.167773
dens 0.168282 0.168282
dens 0.171494 0.171494
dens 0.169343 0.169343
dens 0.16922 0.16922
dens 0.169137 0.169137
dens 0.166394 0.166394
dens 0.170579 0.170579
dens 0.169873 0.169873
dens 0.168614 0.168614
dens 0.167598 0.167598
dens 0.169438 0.169438
dens 0.167854 0.167854
dens 0.170452 0.170452
dens 0.170275 0.170275
dens 0.167872 0.167872
dens 0.168439 0.168439
dens 0.168166 0.168166
dens 0.168105 0.168105
dens 0.166654 0.166654
dens 0.17235 0.17235
dens 0.165771 0.165771
dens 0.168453 0.168453
dens 0.168118 0.168118
dens 0.170332 0.170332
dens 0.170641 0.170641
dens 0.169008 0.169008
dens 0.167289 0.167289
dens 0.167236 0.167236
dens 0.17005 0.17005
dens 0.167465 0.167465
dens 0.168053 0.168053
dens 0.166178 0.166178
dens 0.168982 0.168982
dens 0.168883 0.168883
dens 0.169422 0.169422
dens 0.172022 0.172022
dens 0.169866 0.169866
dens 0.169754 0.169754
dens 0.1693 0.1693
dens 0.167455 0.167455
dens 0.171207 0.171207
dens 0.169248 0.169248
dens 0.170465 0.170465
dens 0.166984 0.166984
dens 0.168674 0.168674
dens 0.16858 0.16858
dens 0.173119 0.173119
dens 0.167902 0.167902
dens 0.167607 0.167607
dens 0.169346 0.169346
dens 0.171555 0.171555
dens 0.16938 0.16938
dens 0.170109 0.170109
dens 0.169906 0.169906
dens 0.166396 0.166396
dens 0.169537 0.169537
dens 0.169701 0.169701
dens 0.169222 0.169222
dens 0.170565 0.170565
dens 0.16725 0.16725
dens 0.170867 0.170867
dens 0.169882 0.169882
dens 0.171375 0.171375
dens 0.172013 0.172013
dens 0.171433 0.171433
dens 0.170076 0.170076
dens 0.170112 0.170112
dens 0.170909 0.170909
dens 0.167714 0.167714
dens 0.17092 0.17092
dens 0.168176 0.168176
dens 0.169269 0.169269
dens 0.168129 0.168129
dens 0.167335 0.167335
dens 0.168827 0.168827
dens 0.168337 0.168337
dens 0.171227 0.171227
dens 0.169862 0.169862
dens 0.171396 0.171396
dens 0.168888 0.168888
dens 0.169772 0.169772
dens 0.169724 0.169724
dens 0.166629 0.166629
dens 0.169397 0.169397
dens 0.170064 0.170064
dens 0.169617 0.169617
dens 0.169169 0.169169
dens 0.168404 0.168404
dens 0.170156 0.170156
dens 0.170644 0.170644
dens 0.173348 0.173348
dens 0.168086 0.168086
dens 0.1699 0.1699
dens 0.171316 0.171316
dens 0.170594 0.170594
dens 0.169405 0.169405
dens 0.171366 0.171366
dens 0.167303 0.167303
dens 0.170964 0.170964
dens 0.171021 0.171021
dens 0.171586 0.171586
dens 0.175092 0.175092
dens 0.17031 0.17031
dens 0.168793 0.168793
dens 0.172654 0.172654
dens 0.167115 0.167115
dens 0.168193 0.168193
dens 0.170069 0.170069
dens 0.171888 0.171888
dens 0.168825 0.168825
dens 0.17543 0.17543
dens 0.17147 0.17147
dens 0.169447 0.169447
dens 0.173753 0.173753
dens 0.170584 0.170584
dens 0.168585 0.168585
dens 0.16959 0.16959
dens 0.170356 0.170356
dens 0.1726 0.1726
dens 0.171457 0.171457
dens 0.170189 0.170189
dens 0.173885 0.173885
dens 0.170669 0.170669
dens 0.17161 0.17161
dens 0.172326 0.172326
dens 0.172831 0.172831
dens 0.170513 0.170513
dens 0.168776 0.168776
dens 0.168592 0.168592
dens 0.168875 0.168875
dens 0.172456 0.172456
dens 0.171865 0.171865
dens 0.167527 0.167527
dens 0.172261 0.172261
dens 0.170057 0.170057
dens 0.168573 0.168573
dens 0.173219 0.173219
dens 0.170956 0.170956
dens 0.170621 0.170621
dens 0.169443 0.169443
dens 0.169177 0.169177
dens 0.168998 0.168998
dens 0.171969 0.171969
dens 0.169361 0.169361
dens 0.169719 0.169719
dens 0.173008 0.173008
dens 0.171317 0.171317
dens 0.171005 0.171005
dens 0.169243 0.169243
dens 0.171509 0.171509
dens 0.168826 0.168826
dens 0.170212 0.170212
dens 0.167108 0.167108
dens 0.171209 0.171209
dens 0.1705 0.1705
dens 0.172166 0.172166
dens 0.170003 0.170003
dens 0.171865 0.171865
dens 0.171069 0.171069
dens 0.171722 0.171722
dens 0.171835 0.171835
dens 0.17535 0.17535
dens 0.17086 0.17086
dens 0.17083 0.17083
dens 0.170331 0.170331
dens 0.170121 0.170121
dens 0.172727 0.172727
dens 0.171079 0.171079
dens 0.171804 0.171804
dens 0.171467 0.171467
dens 0.17103 0.17103
dens 0.171135 0.171135
dens 0.171493 0.171493
dens 0.170635 0.170635
dens 0.171551 0.171551
dens 0.171435 0.171435
dens 0.172023 0.172023
dens 0.168436 0.168436
dens 0.171069 0.171069
dens 0.171487 0.171487
dens 0.171127 0.171127
dens 0.169423 0.169423
dens 0.16882 0.16882
dens 0.174679 0.174679
dens 0.172211 0.172211
dens 0.170943 0.170943
dens 0.170287 0.170287
dens 0.17204 0.17204
dens 0.174063 0.174063
dens 0.16943 0.16943
dens 0.16855 0.16855
dens 0.171409 0.171409
dens 0.173515 0.173515
dens 0.170296 0.170296
dens 0.169626 0.169626
dens 0.172978 0.172978
dens 0.173196 0.173196
dens 0.169831 0.169831
dens 0.171222 0.171222
dens 0.173094 0.173094
dens 0.170392 0.170392
dens 0.171849 0.171849
dens 0.169865 0.169865
dens 0.171062 0.171062
dens 0.171574 0.171574
dens 0.170562 0.170562
dens 0.172618 0.172618
dens 0.173938 0.173938
dens 0.170561 0.170561
dens 0.173352 0.173352
dens 0.169815 0.169815
dens 0.174298 0.174298
dens 0.174302 0.174302
dens 0.17517 0.17517
dens 0.171656 0.171656
dens 0.171502 0.171502
dens 0.172232 0.172232
dens 0.174435 0.174435
dens 0.170932 0.170932
dens 0.175437 0.175437
dens 0.172484 0.172484
dens 0.173899 0.173899
dens 0.17226 0.17226
dens 0.171996 0.171996
dens 0.175338 0.175338
dens 0.171466 0.171466
dens 0.170231 0.170231
dens 0.171984 0.171984
dens 0.168909 0.168909
dens 0.172517 0.172517
dens 0.16946 0.16946
dens 0.169496 0.169496
dens 0.173558 0.173558
dens 0.170994 0.170994
dens 0.17299 0.17299
dens 0.170108 0.170108
dens 0.171595 0.171595
dens 0.171796 0.171796
dens 0.171333 0.171333
dens 0.17051 0.17051
dens 0.167654 0.167654
dens 0.171797 0.171797
dens 0.170947 0.170947
dens 0.170813 0.170813
dens 0.170537 0.170537
dens 0.170782 0.170782
dens 0.16946 0.16946
dens 0.172038 0.172038
dens 0.172148 0.172148
dens 0.171117 0.171117
dens 0.174253 0.174253
dens 0.170612 0.170612
dens 0.173247 0.173247
dens 0.171139 0.171139
dens 0.176348 0.176348
dens 0.172426 0.172426
dens 0.170267 0.170267
dens 0.170241 0.170241
dens 0.175442 0.175442
dens 0.173548 0.173548
dens 0.170809 0.170809
dens 0.16954 0.16954
dens 0.173847 0.173847
dens 0.173343 0.173343
dens 0.169697 0.169697
dens 0.170225 0.170225
dens 0.173484 0.173484
dens 0.168128 0.168128
dens 0.174275 0.174275
dens 0.170963 0.170963
dens 0.171059 0.171059
dens 0.172996 0.172996
dens 0.172728 0.172728
dens 0.170598 0.170598
dens 0.171801 0.171801
dens 0.170354 0.170354
dens 0.172741 0.172741
dens 0.171034 0.171034
dens 0.173401 0.173401
dens 0.171791 0.171791
dens 0.16887 0.16887
dens 0.170838 0.170838
dens 0.17415 0.17415
dens 0.16981 0.16981
dens 0.172635 0.172635
dens 0.171982 0.171982
dens 0.174077 0.174077
